EXPERIMENT_CMD,DECODER,ERROR_WEIGHT,LEVEL,MAX_IT_LIST,R_BITS,N_TESTS
./bin/main,BGF,155,1,5,10001,100000
./bin/main,BGF,155,1,5,10101,100000
./bin/main,BGF,155,1,5,10201,100000
./bin/main,BGF,155,1,5,10301,100000
./bin/main,BGF,155,1,5,10401,100000
./bin/main,BGF,155,1,5,10501,100000
./bin/main,BGF,155,1,5,10601,100000
./bin/main,BGF,155,1,5,10701,100000
./bin/main,BGF,155,1,5,10801,100000
./bin/main,BGF,155,1,5,10901,100000
./bin/main,BGF,155,1,5,11001,100000
./bin/main,BGF,155,1,5,11101,100000
./bin/main,BGF,155,1,5,11201,1000000
./bin/main,BGF,155,1,5,11301,1000000
./bin/main,BGF,155,1,5,11401,1000000
./bin/main,BGF,155,1,5,11501,1000000
./bin/main,BGF,155,1,5,11601,1000000
./bin/main,BGF,155,1,5,11701,1000000
./bin/main,BGF,155,1,5,11801,1000000
./bin/main,BGF,155,1,5,11901,1000000
./bin/main,BGF,155,1,5,12001,1000000
./bin/main,BGF,155,1,5,12101,1000000
./bin/main,BGF,155,1,5,12201,1000000
./bin/main,BGF,155,1,5,12301,1000000
./bin/main,BGF,155,1,5,12401,1000000
./bin/main,BGF,153,1,5,10001,100000
./bin/main,BGF,153,1,5,10101,100000
./bin/main,BGF,153,1,5,10201,100000
./bin/main,BGF,153,1,5,10301,100000
./bin/main,BGF,153,1,5,10401,100000
./bin/main,BGF,153,1,5,10501,100000
./bin/main,BGF,153,1,5,10601,100000
./bin/main,BGF,153,1,5,10701,100000
./bin/main,BGF,153,1,5,10801,100000
./bin/main,BGF,153,1,5,10901,100000
./bin/main,BGF,153,1,5,11001,100000
./bin/main,BGF,153,1,5,11101,100000
./bin/main,BGF,153,1,5,11201,1000000
./bin/main,BGF,153,1,5,11301,1000000
./bin/main,BGF,153,1,5,11401,1000000
./bin/main,BGF,153,1,5,11501,1000000
./bin/main,BGF,153,1,5,11601,1000000
./bin/main,BGF,153,1,5,11701,1000000
./bin/main,BGF,153,1,5,11801,1000000
./bin/main,BGF,153,1,5,11901,1000000
./bin/main,BGF,153,1,5,12001,1000000
./bin/main,BGF,153,1,5,12101,1000000
./bin/main,BGF,153,1,5,12201,1000000
./bin/main,BGF,153,1,5,12301,1000000
./bin/main,BGF,153,1,5,12401,1000000
./bin/main,BGF,151,1,5,10001,100000
./bin/main,BGF,151,1,5,10101,100000
./bin/main,BGF,151,1,5,10201,100000
./bin/main,BGF,151,1,5,10301,100000
./bin/main,BGF,151,1,5,10401,100000
./bin/main,BGF,151,1,5,10501,100000
./bin/main,BGF,151,1,5,10601,100000
./bin/main,BGF,151,1,5,10701,100000
./bin/main,BGF,151,1,5,10801,100000
./bin/main,BGF,151,1,5,10901,100000
./bin/main,BGF,151,1,5,11001,100000
./bin/main,BGF,151,1,5,11101,100000
./bin/main,BGF,151,1,5,11201,1000000
./bin/main,BGF,151,1,5,11301,1000000
./bin/main,BGF,151,1,5,11401,1000000
./bin/main,BGF,151,1,5,11501,1000000
./bin/main,BGF,151,1,5,11601,1000000
./bin/main,BGF,151,1,5,11701,1000000
./bin/main,BGF,151,1,5,11801,1000000
./bin/main,BGF,151,1,5,11901,1000000
./bin/main,BGF,151,1,5,12001,1000000
./bin/main,BGF,151,1,5,12101,1000000
./bin/main,BGF,151,1,5,12201,1000000
./bin/main,BGF,151,1,5,12301,1000000
./bin/main,BGF,151,1,5,12401,1000000
